"Twin","RMSE_mAge_BernabeuE2023c","RMSE_mAge_CBL_common","RMSE_mAge_CBL_specific","RMSE_mAge_Cortex_common","RMSE_mAge_epiTOC2","RMSE_mAge_HannumG2013","RMSE_mAge_HorvathS2018","RMSE_mAge_LevineM2018","RMSE_mAge_LuA2019","RMSE_mAge_LuA2023p1","RMSE_mAge_LuA2023p2","RMSE_mAge_LuA2023p3","RMSE_mAge_McEwenL2019","RMSE_mAge_PCHannumG2013","RMSE_mAge_PCHorvathS2013","RMSE_mAge_PCHorvathS2018","RMSE_mAge_PCPhenoAge","RMSE_mAge_ShirebyG2020","RMSE_mAge_ZhangQ2019","RMSE_mAge_ZhangY2017"
"dizygotic_twinpair_29",8.63372238732781,6.02486041576294,2.6443771017438,14.8492705318269,844.324458920505,14.8382037400695,4.64952547839799,29.4570690637558,51.2019090707224,12.527700449709,2.73908371963639,5.39390771617174,41.9459777513168,10.1935650442039,2.4304876112331,10.3281292416456,20.4436061116008,4.36186052665183,7.96038765182107,58.3743478543517
"dizygotic_twinpair_3",4.35122840014118,1.6732609989175,13.1712294672538,12.6960542828716,1445.48198308349,1.62949537086946,7.47603260649587,21.691281996347,42.4691205760162,11.8446302970503,6.06451640220122,1.10019589681205,32.6240009698982,19.6753877284579,2.66442047353634,2.11348830986353,28.4002988957217,8.97602800612361,4.5445230147508,49.8087757092611
"dizygotic_twinpair_30",11.52588924468,8.57786803262483,5.2976194704201,21.8885140681569,1619.11064035206,3.49443343806704,0.616893223981003,25.2341376728803,54.0763774173205,23.6252788386514,3.87282144221157,10.2687165973713,40.8312008994266,11.1153391117721,5.42959533420132,11.5121252010364,21.7134756677672,7.00171718968831,11.6819251805603,61.3431054132375
"dizygotic_twinpair_31",7.62825043195398,14.9219523856802,2.1489828189716,23.8667730781502,1193.60689324231,7.78721286646886,8.51833059288852,28.8352054674787,55.8571524449553,18.69512756136,2.74388885041891,8.76655017835923,42.1830019020968,11.7804367085247,5.35294236311955,8.83555115337897,23.2133167139832,3.50510580299977,9.7607057896525,62.9555319443121
"dizygotic_twinpair_32",9.86019753075005,13.1900835857533,1.37861817135746,26.5891645272433,2025.89380214326,9.30498859373706,3.96800877448298,28.0087856732582,62.5303302380238,25.5323718719499,7.61129113419017,15.596542897348,49.8901018942722,8.4341051558841,6.39401182758618,10.1429702023879,17.4437020626915,3.45818278040413,11.5332714854818,69.7766031738062
"dizygotic_twinpair_33",8.15943230138651,14.5741118506046,5.21548589636152,28.391908142931,2004.82730215608,4.40814334558976,10.9217135448279,19.9429595623075,62.0100981583282,27.8448488054466,6.95801168874012,15.637614911599,44.4765081423097,15.4278496054959,7.17982148740213,7.57469285674978,27.3325141831565,8.81499243759129,9.79288756622605,68.8189104313068
"dizygotic_twinpair_34",13.0167718949025,13.0093412647706,2.78153085570687,17.9068220270473,1229.49864615009,14.2046903441371,4.28618354266615,32.0535791834496,50.6221356186235,19.8624258605126,3.79822748008171,10.2082627366762,40.5588501345616,10.3643065069412,4.77809900728222,11.6265919142427,19.3448686409045,4.5175086888925,11.5040466372118,57.7244249845109
"dizygotic_twinpair_35",16.216289988161,19.3559661240245,2.22067945250223,29.5946670974609,1450.40538599844,3.68370133939154,0.231407026421721,29.3621160786741,61.3701792100793,35.7705619522593,15.2638011164978,22.3373063299997,42.8320693104278,6.6900732935062,11.6819263765151,14.701729550851,18.6366914831322,2.71722127393076,16.2383585009369,68.4749170476837
"dizygotic_twinpair_36",14.004460626862,15.8124255629544,4.5875314216082,26.5170384724642,932.507102401508,6.33321740640029,5.88829746450072,24.5387564643821,55.5209253877901,22.9868735331893,4.14455140012621,9.91726746073723,40.0613664049016,13.4776034704926,6.84686618230094,5.9091920957402,29.425344900985,9.40048748989151,13.3871769637827,62.1682152367995
"dizygotic_twinpair_37",6.00637537328115,4.61786226638938,8.92873007819335,15.8666889542694,1939.90988007453,7.61267259871329,9.45187829376312,22.5922897109128,56.0040454004156,21.1915690354611,5.33255619709843,14.3760190452112,41.5815200977888,14.4209787376639,2.1609334933778,7.07845071594154,26.4624605569926,11.3054659197533,6.44594383012695,63.2380449333247
"dizygotic_twinpair_38",14.3766660801917,5.62388832742881,10.7532692073579,6.11185102655049,914.411384240354,21.7833200356775,3.75855730788798,35.2295198425106,57.9309782831315,8.31051762469762,7.29080198178287,2.18870344726058,54.1644423637768,4.27584824436946,1.665011666642,11.2017528993658,8.08062018356077,4.32883744510533,14.8663472062862,65.1581298902004
